,u,i,ts,label,idx
0,5046,5046,1641.0,0.0,430
1,6387,6387,1653.0,0.0,6091
2,10865,10865,1724.0,0.0,4669
3,6387,6387,1739.0,0.0,6093
4,12112,12112,1808.0,0.0,1871
5,12112,8292,1826.0,0.0,1871
6,5046,5046,1915.0,0.0,430
7,5046,5046,1937.0,0.0,431
8,13465,13465,2025.0,0.0,4489
9,10525,10525,2113.0,0.0,2409
10,12112,12112,2154.0,0.0,3634
11,13465,13465,2201.0,0.0,6856
12,12112,8292,2209.0,0.0,3634
13,5046,5046,2292.0,0.0,5613
14,5747,2126,2316.0,0.0,7020
15,10181,10181,2552.0,0.0,179
16,6387,6387,2712.0,0.0,6444
17,13465,13465,2734.0,0.0,2935
18,6387,6387,2823.0,0.0,6441
19,6387,6387,2826.0,0.0,6092
20,6387,6387,2850.0,0.0,6445
21,10181,10181,2857.0,0.0,478
22,3848,3848,2903.0,0.0,5773
23,13465,13465,2982.0,0.0,6046
24,10181,12849,3209.0,0.0,179
25,734,734,3232.0,0.0,2693
26,10181,10181,3282.0,0.0,179
27,10181,10181,3333.0,0.0,478
28,611,611,3374.0,0.0,6067
29,15251,13647,3432.0,0.0,3888
30,365,7580,3436.0,0.0,2934
31,7172,3915,3535.0,0.0,1005
32,10865,10865,3826.0,0.0,4668
33,15251,13647,3955.0,0.0,480
34,15251,13647,4080.0,0.0,3889
35,13855,13855,4084.0,0.0,7001
36,5747,12391,4134.0,0.0,7020
37,10181,3915,4203.0,0.0,478
38,13231,13231,4222.0,0.0,5753
39,3982,3982,4497.0,0.0,1565
40,10181,12849,4512.0,0.0,478
41,11052,11052,4529.0,0.0,4722
42,3982,3982,4656.0,0.0,4922
43,3982,3982,4661.0,0.0,1562
44,3982,3982,4707.0,0.0,2079
45,3982,3982,4901.0,0.0,2080
46,13331,14474,4956.0,0.0,4215
47,7172,3915,5202.0,0.0,5069
48,12643,4425,5208.0,0.0,2210
49,4081,4081,5222.0,0.0,3703
50,13465,13465,5303.0,0.0,6617
51,12643,14327,5338.0,0.0,2210
52,3982,3982,5384.0,0.0,3706
53,12643,8097,5449.0,0.0,2210
54,4081,4081,5531.0,0.0,4927
55,12112,12112,5743.0,0.0,1284
56,14952,14952,5743.0,0.0,4473
57,12112,8292,5763.0,0.0,1284
58,3982,3982,5832.0,0.0,181
59,9501,8885,5891.0,0.0,4534
60,800,14881,5987.0,0.0,6135
61,800,5861,5999.0,0.0,6135
62,12643,13027,6046.0,0.0,2210
63,9501,12511,6052.0,0.0,4534
64,4073,3915,6085.0,0.0,3060
65,10865,10865,6165.0,0.0,7030
66,9501,14461,6196.0,0.0,4534
67,10181,12511,6203.0,0.0,179
68,9501,3915,6210.0,0.0,4534
69,3982,3982,6269.0,0.0,1584
70,3982,3982,6292.0,0.0,3274
71,3982,3982,6322.0,0.0,3273
72,3982,3982,6325.0,0.0,4928
73,3982,3982,6340.0,0.0,1757
74,3982,3982,6348.0,0.0,3710
75,3982,3982,6361.0,0.0,182
